itemID,artist,title,categoryID
729,Bushido,Alles wird gut - Album Version,5
674,Ke$ha,TiK ToK,4
745,Frauenarzt and Manny Marc,Das Geht Ab (Wir Feiern Die Ganze Nacht),4
675,Keri Hilson,I Like - Jost and Grubert,8
676,STROMAE,Alors On Danse,8
677,Owl City,Fireflies - Album Version,8
678,Cheryl Cole,Fight For This Love,8
680,Lady GaGa,Bad Romance,8
681,Amy Macdonald,Dont Tell Me That Its Over,8
682,Unheilig,Geboren um zu leben,8
683,Aura Dione,I Will Love You Monday (365),8
684,Stanfour,Wishing You Well - Radio Version,8
685,OneRepublic,All The Right Moves,8
686,Culcha Candela,Monsta,8
687,Timbaland,If We Ever Meet Again (Featuring Katy Perry),8
688,Black Eyed Peas,I Gotta Feeling - Album Version,8
689,Gossip,Heavy Cross - Album Version,8
690,Rihanna,Rude Boy - Album Version,8
692,Rihanna,Rude Boy - Explicit Version,8
693,Revolverheld,Spinner,8
694,David Guetta - Kid Cudi,Memories (Featuring Kid Cudi),8
695,Jason Derulo,Whatcha Say - Main Version,8
696,Black Eyed Peas,Meet Me Halfway - Album Version,8
697,Alexandra Burke Feat. Flo Rida,Bad Boys,8
698,Ich + Ich,Einer von Zweien,8
700,Muse,Undisclosed Desires - Album Version,8
701,Culcha Candela,Eiskalt,8
702,Melanie Fiona,Monday Morning - Album Version,8
679,Iyaz,Replay (Album Version),8
699,Timbaland,Morning After Dark (Featuring Nelly Furtado),8
703,Ich + Ich,Pflaster,8
704,Rihanna,Russian Roulette - Album Version,8
705,Black Eyed Peas,Rock That Body - Album Version,8
706,Train,Hey,8
709,Agnes,Release Me,8
710,Calderone Inc.,This Is My Time (Club Edit),8
712,Robbie Williams,Morning Sun,8
715,OneRepublic,Secrets,8
716,Xavier Naidoo,Halte durch,8
719,Lisa Mitchell,Neopolitan Dreams,8
720,Helping Haiti,Everybody Hurts,8
721,Silbermond,Krieger des Lichts - Single Version,8
722,Bryan Adams,One World One Flame,8
723,Alicia Keys,Try Sleeping With A Broken Heart,8
724,Jan Delay,Hoffnung,8
725,Lady GaGa,Bad Romance - Radio Edit,8
726,P!nk,Bad Influence - Main Version,8
708,Gigi Dagostino,Moonlight Shadow,4
711,Sivana,Feels Like Im Dancin (Original Mix),4
713,David Guetta - Akon,Sexy Bitch (Featuring Akon),8
717,Timbaland,If We Ever Meet Again - International Radio,8
727,Xavier Naidoo mit Janet Grogan,Alles kann besser werde,8
718,Paul and Fritz Kalkbrenner,Sky And Sand,8
728,Jurgen Drews,Ich bau dir ein Schloss - Wolken Mix,8
714,Jay-Z,Empire State Of Mind [Jay-Z + Alicia Keys],5
730,Sportfreunde Stiller,Lass mich nie mehr los - Studio Version,8
731,Wencke Myhre,Eingeliebt - ausgeliebt,8
733,Herbert Gr&ouml,nemeyer,8
734,Unheilig,Mein Stern,8
735,Topmodelz,Time to Wonder (Club Mix),8
736,Alexandra Burke,Hallelujah,8
737,Ich + Ich,Einer von Zweien - Radio Version,8
739,David Guetta - Estelle,One Love (Featuring Estelle),8
740,Fady Maalouf,Into The Light,8
741,Ke$ha featuring 3OH!3,Blah Blah Blah,8
743,Avril Lavigne,Alice,8
744,Marit Larsen,If A Song Could Get Me You,8
746,Kate Nash,Foundations - Full Explicit Version,8
747,Jan Delay,Hoffnung - Single Version,8
748,Giovanni,I Cant Dance Alone [feat. Ross Antony],8
750,Eric Chase,If You Tolerate This (Club Mix),8
751,Florence + The Machine,Youve Got The Love,8
753,Shakira,Gypsy - Album Version,8
755,Unheilig,An deiner Seite,8
757,Livingston,Go - Single Version,8
749,Goldfrapp,Rocket,4
732,Unheilig,Fur immer,8
738,Nena,Du bist so gut fur mich (Radio Edit),8
742,Jason Derulo,In My Head (Album Version),8
752,Sean Paul,Hold My Hand (Original Version),8
754,Jay-Z,Young Forever [Jay-Z + Mr Hudson],8
756,Three 6 Mafia vs. Tiesto with Sean Kingston,Feel It,4
759,Fettes Brot,Jein (Radio Edit),8
761,Lady GaGa,Paparazzi,8
760,Bon Jovi,Superman Tonight - Album Version,10
762,DJ Gollum vs. Basslovers United,Narcotic,4
758,Dominik Buchele,Closer To Heaven,8
